claim_id,claim,evidence,evidence_label,label,category,predicted_label_raw,predicted_label,accuracy,macro_f1,macro_precision,macro_recall,model_name,runtime_seconds,sample_size
1171,"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.","A study conducted between 1982 and 2010 found that some areas of Jakarta have been sinking by as much as 28 cm (11 inches) per year due to ground water drilling and the weight of its buildings, and the problem is now exacerbated by sea level rise.",NOT_ENOUGH_INFO,neutral,Sea level rise,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2293,"Steve McIntyre noticed a strange  discontinuity in US temperature data, occurring around January 2000.","In 2002, McIntyre became interested in climate science after a leaflet from the Canadian government warning of the dangers of global warming was delivered to his residence.",NOT_ENOUGH_INFO,neutral,Steve McIntyre,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2901,"Though CRU neglected to provide an exact list of temperature stations, it could not have hid or tampered with data.","DPA has two main objectives: To use data to provide knowledge in the most efficient manner possible (minimize noise, complexity, and unnecessary data or detail given each audience's needs and roles) To use data to provide knowledge in the most effective manner possible (provide relevant, timely and complete data to each audience member in a clear and understandable manner that conveys important meaning, is actionable and can affect understanding, behavior and decisions) With the above objectives in mind, the actual work of data presentation architecture consists of: Creating effective delivery mechanisms for each audience member depending on their role, tasks, locations and access to technology Defining important meaning (relevant knowledge) that is needed by each audience member in each context Determining the required periodicity of data updates (the currency of the data) Determining the right timing for data presentation (when and how often the user needs to see the data) Finding the right data (subject area, historical reach, breadth, level of detail, etc.)",NOT_ENOUGH_INFO,neutral,Data visualization,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2766,"The most interesting thing here is that the albedo forcings, in watts/sq meter seem to be fairly large.","Called the albedo of Earth, around 35 units are reflected back to space: 27 from the top of clouds, 2 from snow and ice-covered areas, and 6 by other parts of the atmosphere.",SUPPORTS,entailment,Earth's energy budget,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
473,"La Niñas, on the other hand, feature cooler than average waters in the Pacific","Water temperatures must be extremely high (near or above 30 °C, 86 °F), and water of this temperature must be sufficiently deep such that waves do not upwell cooler waters to the surface.",NOT_ENOUGH_INFO,neutral,Tropical cyclone,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
775,"Instead of negotiating over climate change policies and trying to make them more market-oriented, some political conservatives have taken the approach of blocking them by trying to undermine the science.",Some Conservative politicians such as Alan Duncan and Crispin Blunt take the libertarian approach that individual freedom and economic freedom of industry and trade should be respected.,NOT_ENOUGH_INFO,neutral,Conservative Party (UK),LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
342,"While members of the media may nod along to such claims [about changes in weather extremes], the evidence paints a different story","As noted, clear and compelling scientific evidence supports the case for a pronounced human influence on global climate.",NOT_ENOUGH_INFO,neutral,Attribution of recent climate change,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2895,"The latest  measurements involve the use of satellite gravimetry, estimating  the mass of terrain beneath by detecting slight changes in gravity as a  satellite passes overhead.","""Tests and combination of satellite determinations of the gravity field with gravimetry"".",NOT_ENOUGH_INFO,neutral,Gravity of Mars,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
692,"“We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere’s sensitivity to CO2 much too high,” Christy said in a statement.","The sensitivity of temperature to atmospheric gasses, most notably CO 2, is often expressed in terms of the change in temperature per doubling of the concentration of the gas.",SUPPORTS,entailment,Climate sensitivity,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
648,‘there will not be enough nitrogen available to sustain the high carbon uptake scenarios.’,"The net uptake of carbon dioxide, and therefore, the plant's potential for growth, must be positive for the plant to survive.",NOT_ENOUGH_INFO,neutral,Carnivorous plant,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1866,"Climate scientists have predicted global temperatures would increase more than one degree Celsius by 2020,"" but observed temperatures have been only half as high.","In February 2020, the region recorded the highest temperature of 18.3 degree Celsius which was a degree higher than the previous record of 17.5 degrees in March 2015.",NOT_ENOUGH_INFO,neutral,Antarctica,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
